統計項目別,細項,樣本數（人）,未滿19273元（%）,19273~未滿2萬元（%）,2萬~未滿2萬5千元（%）,2萬5千~未滿3萬元（%）,3萬~未滿3萬5千元（%）,3萬5千元~未滿4萬元（%）,4萬~未滿4萬5千元（%）,4萬5千元~未滿5萬元（%）,5萬元及以上（%）,平均每月薪資（元）
性別,男,1688,7.21,1.5,17,25.05,23.36,10.31,7.66,3.57,4.34,30248
性別,女,2346,7.8,1.77,25.32,29.38,19.45,7.8,4.6,1.94,1.94,27696
年齡,15-19歲,121,34.3,7.5,41.46,11.33,3.14,-,-,1.51,0.77,20584
年齡,20-24歲,1007,10.74,1.84,28.74,33.99,18.13,3.04,2.86,0.52,0.13,25553
年齡,25-29歲,2906,2.53,0.81,14.96,25.77,25.25,13.23,8.49,4.02,4.93,31711
教育程度,國中及以下,129,15.85,11.08,28,24.38,10.33,5.58,3.11,1.08,0.58,24139
教育程度,高中（職）,941,16.32,2.31,34.2,25.66,13.38,4.03,2.52,1.12,0.46,24579
教育程度,專科,203,11.17,1.24,20.5,28.28,26.6,5.96,4.06,1.12,1.08,27431
教育程度,大學,2448,3.12,0.77,17.23,31.12,26.43,10.49,6.08,2.22,2.54,29911
教育程度,碩士及以上,313,0.29,-,1.46,7,16.34,20.13,21.61,14.01,19.16,41100
專科以上科系,人文,502,2.92,0.22,22.05,35.3,21.78,10.52,4.75,0.91,1.56,28759
專科以上科系,社會,1276,4.8,1.24,18.18,32.4,25.9,8.78,4.34,2.09,2.27,29100
專科以上科系,科技,1216,2.48,0.4,10.77,21.41,25.57,14.57,11.9,5.65,7.25,33596
